cartao,ingresso,codigo,titulo,situacao
577262,2023/01,INF01151,SISTEMAS OPERACIONAIS II N,Aprovado
577262,2023/01,INF05019,AGENTES AUTÔNOMOS E SISTEMAS MULTIAGENTES,Aprovado
577262,2023/01,INF01017,APRENDIZADO DE MÁQUINA,Aprovado
577262,2023/01,INF01023,ARQUITETURA E DESEMPENHO DE BANCO DE DADOS,Aprovado
577262,2023/01,INF01191,ARQUITETURAS AVANÇADAS DE COMPUTADORES,Aprovado
577262,2023/01,INF01146,AVALIAÇÃO DE DESEMPENHO,Aprovado
577262,2023/01,INF05018,BIOLOGIA COMPUTACIONAL,Aprovado
577262,2023/01,INF01205,CAD PARA SISTEMAS DIGITAIS,Aprovado
577262,2023/01,INF05006,CATEGORIAS COMPUTACIONAIS N,Aprovado
577262,2023/01,INF01037,COMPUTAÇÃO EVOLUTIVA,Aprovado
577262,2023/01,INF01009,COMPUTAÇÃO GRÁFICA,Aprovado
577262,2023/01,INF01140,COMPUTADOR E SOCIEDADE,Aprovado
577262,2023/01,INF01005,COMUNICAÇÃO DE DADOS,Aprovado
577262,2023/01,INF01185,CONCEPÇÃO DE CIRCUITOS INTEGRADOS I,Aprovado
577262,2023/01,INF01056,DESAFIOS DE PROGRAMAÇÃO,Aprovado
577262,2023/01,ECO02254,ECONOMIA A,Aprovado
577262,2023/01,INF01001,ESPECIFICAÇÃO FORMAL N,Aprovado
577262,2023/01,INF01213,FOTOGRAFIA COMPUTACIONAL,Aprovado
577262,2023/01,INF01030,FUNDAMENTOS DE VISÃO COMPUTACIONAL,Aprovado
577262,2023/01,INF01016,GERÊNCIA E ADMINISTRAÇÃO DE PROJETOS,Aprovado
577262,2023/01,INF01015,GERÊNCIA E APLICAÇÕES EM REDES,Aprovado
577262,2023/01,INF01039,HISTÓRIA DA COMPUTAÇÃO,Aprovado
577262,2023/01,LET02720,INGLÊS INSTRUMENTAL PARA PROCESSAMENTO DE DADOS I,Aprovado
577262,2023/01,INF05004,INTELIGÊNCIA ARTIFICIAL AVANÇADA,Aprovado
577262,2023/01,INF01049,INTRODUÇÃO À PESQUISA EM INFORMÁTICA,Aprovado
577262,2023/01,INF05001,LABORATÓRIO DE PROGRAMAÇÃO EM LÓGICA,Aprovado
577262,2023/01,INF01022,LABORATÓRIO DE SISTEMA DE SOFTWARE,Aprovado
577262,2023/01,INF01215,MÉTODOS ÁGEIS,Aprovado
577262,2023/01,INF01216,MODELAGEM E GERENCIAMENTO DE PROCESSOS DE NEGÓCIO,Aprovado
577262,2023/01,INF01008,PROGRAMAÇÃO DISTRIBUÍDA E PARALELA,Aprovado
577262,2023/01,INF01006,PROJETO DE BANCO DE DADOS,Aprovado
577262,2023/01,INF01021,PROJETO DE HIPERDOCUMENTOS,Aprovado
577262,2023/01,INF01019,PROJETO EM COMPUTAÇÃO GRÁFICA,Aprovado
577262,2023/01,INF01002,PROTOCOLOS DE COMUNICAÇÃO,Aprovado
577262,2023/01,INF01034,ROBÓTICA II,Aprovado
577262,2023/01,INF01045,SEGURANÇA EM SISTEMAS DE COMPUTAÇÃO,Aprovado
577262,2023/01,INF01014,SISTEMAS DE BANCO DE DADOS DISTRIBUÍDOS,Aprovado
577262,2023/01,INF01175,SISTEMAS DIGITAIS PARA COMPUTADORES A,Aprovado
577262,2023/01,INF01059,SISTEMAS EMBARCADOS,Aprovado
577262,2023/01,INF01038,SISTEMAS ESPECIALISTAS N,Aprovado
577262,2023/01,INF01018,SISTEMAS OPERACIONAIS DISTRIBUÍDOS E DE REDES,Aprovado
577262,2023/01,INF01217,TENDÊNCIAS EM ENGENHARIA DE SOFTWARE,Aprovado
577262,2023/01,INF05003,TEORIA DA COMPUTAÇÃO DISTRIBUÍDA,Aprovado
577262,2023/01,INF01214,TESTE DE SOFTWARE,Aprovado
577262,2023/01,INF01179,TÓPICOS ESPECIAIS EM COMPUTAÇÃO I,Aprovado
577262,2023/01,INF01182,TÓPICOS ESPECIAIS EM COMPUTAÇÃO II,Aprovado
577262,2023/01,INF01188,TÓPICOS ESPECIAIS EM COMPUTAÇÃO III,Aprovado
577262,2023/01,INF01198,TÓPICOS ESPECIAIS EM COMPUTAÇÃO IV,Aprovado
577262,2023/01,INF05009,TÓPICOS ESPECIAIS EM COMPUTAÇÃO IX,Aprovado
577262,2023/01,INF05504,TÓPICOS ESPECIAIS EM COMPUTAÇÃO V,Aprovado
577262,2023/01,INF05505,TÓPICOS ESPECIAIS EM COMPUTAÇÃO VI,Aprovado
577262,2023/01,INF01054,TÓPICOS ESPECIAIS EM COMPUTAÇÃO VII,Aprovado
577262,2023/01,INF01055,TÓPICOS ESPECIAIS EM COMPUTAÇÃO VIII,Aprovado
577262,2023/01,INF01065,TÓPICOS ESPECIAIS EM COMPUTAÇÃO X,Aprovado
577262,2023/01,INF01064,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XI,Aprovado
577262,2023/01,INF01063,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XII,Aprovado
577262,2023/01,INF05011,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XIII,Aprovado
577262,2023/01,INF05012,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XIV,Aprovado
577262,2023/01,INF05014,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XIX,Aprovado
577262,2023/01,INF05013,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XV,Aprovado
577262,2023/01,INF01062,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XVI,Aprovado
577262,2023/01,INF01061,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XVII,Aprovado
577262,2023/01,INF01060,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XVIII,Aprovado
577262,2023/01,INF05015,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XX,Aprovado
577262,2023/01,INF05016,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XXI,Aprovado
577262,2023/01,INF01066,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XXII,Aprovado
577262,2023/01,INF01067,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XXIII,Aprovado
577262,2023/01,INF01068,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XXIV,Aprovado
577262,2023/01,INF01069,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XXIX,Aprovado
577262,2023/01,INF05020,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XXV,Aprovado
577262,2023/01,INF05021,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XXVI,Aprovado
577262,2023/01,INF05022,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XXVII,Aprovado
577262,2023/01,INF05023,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XXVIII,Aprovado
577262,2023/01,INF01070,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XXX,Aprovado
577262,2023/01,INF01071,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XXXI,Aprovado
577262,2023/01,INF01072,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XXXII,Aprovado
577262,2023/01,INF01218,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XXXIII,Aprovado
577262,2023/01,INF01219,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XXXIV,Aprovado
577262,2023/01,INF01220,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XXXV,Aprovado
577262,2023/01,INF01221,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XXXVI,Aprovado
577262,2023/01,INF01050,TÓPICOS ESPECIAIS EM ENGENHARIA DE COMPUTAÇÃO I,Aprovado
577262,2023/01,INF01053,TÓPICOS ESPECIAIS EM ENGENHARIA DE COMPUTAÇÃO IV,Aprovado
577262,2023/01,INF05024,TÓPICOS ESPECIAIS EM ENGENHARIA DE COMPUTAÇÃO V,Aprovado
577262,2023/01,INF05025,TÓPICOS ESPECIAIS EM ENGENHARIA DE COMPUTAÇÃO VI,Aprovado
577262,2023/01,VAERE201,VÍNCULO ACADÊMICO - ERE 2020/1,Aprovado
577262,2023/01,VAERE202,VÍNCULO ACADÊMICO - ERE 2020/2,Aprovado
577262,2023/01,Temp-4,Ingresso até Temp-4,Aprovado
577262,2023/01,Temp-5,Ingresso até Temp-5,Aprovado
577262,2023/01,Temp-6,Ingresso até Temp-6,Aprovado
577262,2023/01,Temp-7,Ingresso até Temp-7,Aprovado
